t,S,I,R
66.75,5589.474907922271,808.6879303939439,812.8371616837844
67.0,5558.846072617906,821.7951938731064,830.3587335089866
67.25,5527.8913614705,834.9443424865962,848.1642960429039
67.5,5496.616489822125,848.1287533810944,866.2547567967802
67.75,5465.027500302881,861.3416199104146,884.6308797867039
68.0,5433.130760561268,874.5759578873015,903.2932815514296
68.25,5400.93296027771,887.8246124166354,922.2424273056545
68.5,5368.4411074526415,901.0802653060098,941.4786272413482
68.75,5335.662523963248,914.3354430471064,961.0020329896452
69.0,5302.604840385637,927.5825253586971,980.8126342556658
69.25,5269.275990082103,940.8137542794589,1000.9102556384375
69.5,5235.684202556045,954.0212437961279,1021.2945536478259
69.75,5201.837996080078,967.1969899898464,1041.9650139300752
70.0,5167.746169605915,980.3328816808958,1062.9209487131886
70.25,5133.417793967684,993.4207115493743,1084.1614944829414
70.5,5098.8622023933585,1006.4521877067962,1105.6856098998446
70.75,5064.088980342112,1019.4189456910617,1127.4920739668253
71.0,5029.107954688382,1032.3125608548191,1149.5794844567984
71.25,4993.929182276447,1045.1245611148997,1171.9462566086527
71.5,4958.562937872224,1057.8464400282999,1194.5906220994755
71.75,4923.019701541799,1070.469670158112,1217.5106283000887
72.0,4887.310145488929,1082.985716690889,1240.7041378201811
72.25,4851.445120386328,1095.3860512651877,1264.1688283484837
72.5,4815.435641237955,1107.6621659694815,1287.9021927925628
72.75,4779.292872811814,1119.805587466284,1311.9015397219016
73.0,4743.02811468481,1131.8078911981847,1336.1639941170044
73.25,4706.652785943102,1143.660715630599,1360.6864984262984
73.5,4670.178409583026,1155.355776485345,1385.465813931628
73.75,4633.61659665911,1166.8848809187455,1410.4985224221439
74.0,4596.979030226855,1178.239941597761,1435.7810281753834
74.25,4560.277449128932,1189.4129906277326,1461.309560243335
74.5,4523.523631674088,1200.3961932856423,1487.0801750402693
74.75,4486.729379258508,1211.1818615133677,1513.088759228125
75.0,4449.906499979505,1221.7624671262479,1539.331032894248
75.25,4413.066792291342,1232.130654693342,1565.8025530153168
75.5,4376.222028752578,1242.2792540470834,1592.4987172003391
75.75,4339.383939913734,1252.2012923815732,1619.4147677046926
76.0,4302.564198393182,1261.8900059005248,1646.5457957062933
76.25,4265.774403188022,1271.3388509778397,1673.886745834138
76.5,4229.026064265374,1280.5415147959677,1701.432420938658
76.75,4192.330587477889,1289.4919254295396,1729.1774870925706
77.0,4155.699259845515,1298.1842613442727,1757.1164788102105
77.25,4119.143235243535,1306.6129602837939,1785.2438044726698
77.5,4082.673520534716,1314.7727275197976,1813.5537519454854
77.75,4046.300962181087,1322.658543443831,1842.040494375081
78.0,4010.036233368344,1330.2656704819576,1870.6980961496972
78.25,3973.889821673285,1337.589659316574,1899.5205190101397
78.5,3937.8720173019533,1344.6263544027136,1928.501628295332
78.75,3901.992901923346,1351.3718987692623,1957.6351993073908
79.0,3866.2623381206854,1357.8227380985888,1986.9149237807248
79.25,3830.689959479311,1363.9756240811607,2016.3344164395276
79.5,3795.285161327306,1369.8276170447405,2045.8872216279526
79.75,3760.057092142021,1375.3760878607231,2075.566819997255
80.0,3725.0146456326956,1380.6187191330662,2105.3666352342375
80.25,3690.1664535064856,1385.5535056780598,2135.280040815454
80.5,3655.5208789223143,1390.178754305873,2165.3003667718117
80.75,3621.0860106341815,1394.4930829173784,2195.420906448439
81.0,3586.869657822833,1398.4954189321838,2225.634923244982
81.25,3552.879345612064,1402.184997066089,2255.935657321846
81.5,3519.1223112634198,1405.5613564783011,2286.316332258278
81.75,3485.6055010406435,1408.6243373107143,2316.7701616486415
82.0,3452.335567732954,1411.374076643338,2347.290355623707
82.25,3419.3188688241094,1413.811003891577,2377.8701272843127
82.5,3386.561465292208,1415.935835672494,2408.5026990352967
82.75,3354.069121023362,1417.7495701684359,2439.181308808201
83.0,3321.8473028206777,1419.253481017471,2469.8992161618503
83.25,3289.9011809884714,1420.4491107609654,2500.649708250562
83.5,3258.2356304702816,1421.338263879334,2531.426105650383
83.75,3226.85523251804,1421.9229994475234,2562.221768034435
84.0,3195.7642768687256,1422.2056234421411,2593.0300996891315
84.25,3164.966764403955,1422.188680732332,2623.844554863711
84.5,3134.466410267227,1421.8749467865264,2654.658642946245
84.75,3104.2666474129796,1421.2674191270655,2685.4659334599532
85.0,3074.370630561197,1420.3693085644286,2716.260060874373
85.25,3044.781240531011,1419.1840302423852,2747.034729226602
85.5,3015.5010889266177,1417.7151945248602,2777.7837165485203
85.75,2986.5325231487964,1415.9665977546429,2808.500879096559
86.0,2957.8776317054417,1413.9422129133138,2839.180155381243
86.25,2929.538249794732,1411.6461802109015,2869.8155699943645
86.5,2901.5159651348936,1409.0827976328371,2900.4012372322672
86.75,2873.8121240149376,1406.2565114707484,2930.931364514312
87.0,2846.4278375412796,1403.1719068625403,2961.4002555961783
87.25,2819.3639880557344,1399.833698366064,2991.8023135782
87.5,2792.621235701063,1396.2467205894707,3022.1320437094646
87.75,2766.2000251109816,1392.4159189001134,3052.384055988903
88.0,2740.1005922023355,1388.3463402325906,3082.553067565072
88.25,2714.3229710479873,1384.0431240152327,3112.633904936778
88.5,2688.8670008098543,1379.511493233036,3142.621505957108
88.75,2663.732332712442,1374.7567456437325,3172.510921643824
89.0,2638.918437038175,1369.7842451623853,3202.297317799438
89.25,2614.424610126782,1364.599413428593,3231.975976444623
89.5,2590.2499813619806,1359.2077215691083,3261.542297068909
89.75,2566.393520129681,1353.614682167411,3290.9917977029068
90.0,2542.85404273293,1347.8258414505347,3320.320115816534
90.25,2519.6302192497933,1341.846771702243,3349.523009047962
90.5,2496.7205803213487,1335.6830639104724,3378.5963557681775
90.75,2474.1235238579343,1329.3403206558264,3407.536155486238
91.0,2451.837321652744,1322.8241492468073,3436.3385291004474
91.25,2429.860125892783,1316.140155106421,3464.999719000795
91.5,2408.1899755581144,1309.2939354137839,3493.5160890281004
91.75,2386.8248027011955,1302.2910730034039,3521.884124295399
92.0,2365.762438598967,1295.137130523892,3550.1004308771394
92.25,2345.00061977117,1287.8376448570045,3578.161735371824
92.5,2324.536993859166,1280.3981217971068,3606.0648843437257
92.75,2304.3691253602847,1272.8240309903842,3633.8068436493295
93.0,2284.4945012134563,1265.1208011324209,3661.3846976541213
93.25,2264.9105362325686,1257.2938154221063,3688.7956483453236
93.5,2245.6145783846437,1249.3484072692186,3716.037014346136
93.75,2226.6039139105537,1241.2898562524754,3743.106229836969
94.0,2207.8757722865676,1233.1233843243244,3770.0008433891057
94.25,2189.42733102558,1224.854152258285,3796.718516716133
94.5,2171.255720317376,1216.487256334226,3823.2570233483957
94.75,2153.358027507772,1208.0277252565882,3849.6142472356373
95.0,2135.7313014169104,1199.4805173002237,3875.788181282863
95.25,2118.3725564973993,1190.85051767823,3901.776925824368
95.5,2101.2787768333715,1182.1425361258964,3927.5786870407296
95.75,2084.446919981876,1173.3613046946643,3953.1917753234575
96.0,2067.8739206583405,1164.5114757498154,3978.614603591842
96.25,2051.5566942681276,1155.597620165449,4003.8456855664213
96.5,2035.492140286468,1146.6242257101906,4028.8836340033395
96.75,2019.677145489287,1137.595695616984,4053.727158893727
97.0,2004.1085870376537,1128.5163473302493,4078.375065632095
97.25,1988.7833354187544,1119.3904114236598,4102.826253157584
97.5,1973.6982572464683,1110.2220306817665,4127.079712071763
97.75,1958.850217924747,1101.015259338716,4151.1345227365355
98.0,1944.236084177128,1091.7740624673295,4174.989853355541
98.25,1929.8527264458062,1082.5023155118593,4198.644958042333
98.5,1915.6970211637722,1073.203803957803,4222.099174878424
98.75,1901.7658529035857,1063.8822231322372,4245.351923964176
99.0,1888.056116406405,1054.5411781282194,4268.402705465375
99.25,1874.5647184949248,1045.1841838469215,4291.251097658153
99.5,1861.2885798738948,1035.8146651512682,4313.896754974837
99.75,1848.2246368219012,1026.4359571249845,4336.3394060531145
100.0,1835.369842778087,1017.0513054310907,4358.578851790822
100.25,1822.7211698274766,1007.6638667640274,4380.614963408496
100.5,1810.2756100885406,998.2767093897428,4402.447680521716
100.75,1798.0301770066114,988.8928137682275,4424.0770092251605
101.0,1785.9819065567153,979.5150732531454,4445.503020190139
101.25,1774.1278583593405,970.1462948633687,4466.725846777291
101.5,1762.4651167126096,960.7892001213932,4487.745683165997
101.75,1750.9907915442634,951.4464259537759,4508.562782501961
102.0,1739.702019286799,942.1205256489085,4529.177455064293
102.25,1728.595963679042,932.8139698676059,4549.590066453353
102.5,1717.6698164973527,923.5291477021636,4569.801035800484
102.75,1706.9207982196015,914.2683677797013,4589.8108340006975
103.0,1696.3461586249614,905.0338594057812,4609.619981969257
103.25,1685.9431773324948,895.827773744456,4629.229048923049
103.5,1675.7091642814241,886.6521850310635,4648.638650687512
103.75,1665.641460155899,877.5090918142488,4667.849448029852
104.0,1655.7374367569848,868.4004182238542,4686.862145019161
104.25,1645.9944973245165,859.3280152614724,4705.677487414012
104.5,1636.410076811377,850.2936621106134,4724.2962610780105
104.75,1626.9816421126757,841.2990674635847,4742.719290423741
105.0,1617.7066922522185,832.3458708623309,4760.947436885452
105.25,1608.5827585285774,823.4356440506215,4778.981597420802
105.5,1599.607404622987,814.5698923351151,4796.822703041899
105.75,1590.7782266712118,805.7500559529627,4814.471717375827
106.0,1582.09285330145,796.9775114437434,4831.929635254808
106.25,1573.5489456402581,788.2535730236543,4849.197481336089
106.5,1565.1441972884036,779.5794939599964,4866.276308751602
106.75,1556.8763342684804,770.9564679441198,4883.167197787402
107.0,1548.7431149460406,762.3856304611037,4899.871254592858
107.25,1540.7423299259285,753.8680601545586,4916.389609919515
107.5,1532.8718019254284,745.4047801850433,4932.7234178895305
107.75,1525.1293856257714,736.996759580691,4948.87385479354
108.0,1517.5129675034746,728.6449145787395,4964.8421179177885
108.25,1510.020465642925,720.3501099567497,4980.6294244003275
108.5,1502.6498295315528,712.1131603523925,4996.237010116057
108.75,1495.3990398388783,703.9348315707651,5011.666128590358
109.0,1488.2661081806582,695.8158418782851,5026.918049941059
109.25,1481.2490768692955,687.7568632822849,5041.994059848422
109.5,1474.3460186516236,679.7585227955075,5056.895458552871
109.75,1467.5550364351202,671.821403684775,5071.623559880107
110.0,1460.8742630035554,663.9460467031696,5086.1796902932765
110.25,1454.301860723025,656.1329513051313,5100.565187971845
110.5,1447.836021239273,648.3825768439388,5114.78140191679
110.75,1441.4749651671618,640.6953437510978,5128.829691081742
111.0,1435.2169417731018,633.0716346972173,5142.711423529682
111.25,1429.060228651207,625.5117957340058,5156.427975614789
111.5,1423.0031313939064,618.0161374170694,5169.980731189025
111.75,1417.0439832576976,610.5849359092417,5183.371080833062
112.0,1411.181144824689,603.2184340642168,5196.600421111095
112.25,1405.4130036605457,595.9168424903021,5209.6701538491525
112.5,1399.7379739694143,588.6803405941436,5222.581685436442
112.75,1394.1544962463695,581.5090776043153,5235.336426149315
113.0,1388.661036927894,574.4031735746973,5247.935789497409
113.25,1383.2560880408716,567.3627203676014,5260.381191591528
113.5,1377.9381668505443,560.3877826166307,5272.674050532825
113.75,1372.7058155078555,553.4783986692926,5284.815785822852
114.0,1367.5576006965755,546.6345815094046,5296.807817794021
114.25,1362.4921132805798,539.8563196593631,5308.6515670600575
114.5,1357.5079679516255,533.1435780623644,5320.34845398601
114.75,1352.6038028779485,526.4962989446901,5331.899898177361
115.0,1347.778279353983,519.9144026581874,5343.307317987829
115.25,1343.0300814514812,513.397788503095,5354.572130045423
115.5,1338.3579156722965,506.94633553137925,5365.695748796324
115.75,1333.7605106030653,500.559903330764,5376.6795860661705
116.0,1329.2366165720157,494.23833278964713,5387.525050638337
116.25,1324.7850053081054,487.98144684311507,5398.233547848779
116.5,1320.40446960268,481.789051200273,5408.806479197046
116.75,1316.0938229738242,475.66093505312284,5419.2452419730525
117.0,1311.8518993335672,469.59687176722883,5429.551228899203
117.25,1307.677552658087,463.5966195544191,5439.7258277874935
117.5,1303.5696566610468,457.65992212778036,5449.770421211172
117.75,1299.5271044701835,451.7865093392084,5459.686386190608
118.0,1295.5488083072592,445.9760977997833,5469.475093892957
118.25,1291.6336991714697,440.2283914832441,5479.137909345286
118.5,1287.7807265264028,434.54308231284085,5488.676191160756
118.75,1283.988857990618,428.9198507318473,5498.091291277535
119.0,1280.2570790319235,423.35836625801863,5507.384554710058
119.25,1276.5843926654024,417.8582880222827,5516.5573193123155
119.5,1272.969819155248,412.4192652919545,5525.610915552798
119.75,1269.4123957204451,407.0409379787649,5534.546666300791
