t,S,I,R,beta,delta,contact_rate,infection_prob,I0
53.25,11341.828157703232,0.9302459200716408,9.241596376703722,0.04,0.07142857142857142,2.0,0.02,5
53.5,11341.818863579403,0.9229285096129216,9.258207910990716,0.04,0.07142857142857142,2.0,0.02,5
53.75,11341.809642571669,0.9156686511042093,9.274688777233804,0.04,0.07142857142857142,2.0,0.02,5
54.0,11341.800494104846,0.9084658920137749,9.29104000314638,0.04,0.07142857142857142,2.0,0.02,5
54.25,11341.79141760828,0.9013197833662968,9.307262608360912,0.04,0.07142857142857142,2.0,0.02,5
54.5,11341.782412515799,0.8942298797149394,9.323357604492452,0.04,0.07142857142857142,2.0,0.02,5
54.75,11341.77347826569,0.8871957391136519,9.339325995201648,0.04,0.07142857142857142,2.0,0.02,5
55.0,11341.764614300659,0.8802169230896838,9.35516877625725,0.04,0.07142857142857142,2.0,0.02,5
55.25,11341.75582006779,0.8732929966163152,9.370886935598136,0.04,0.07142857142857142,2.0,0.02,5
55.5,11341.747095018523,0.8664235280858017,9.386481453394856,0.04,0.07142857142857142,2.0,0.02,5
55.75,11341.73843860861,0.8596080892825304,9.401953302110673,0.04,0.07142857142857142,2.0,0.02,5
56.0,11341.729850298085,0.8528462553563866,9.417303446562148,0.04,0.07142857142857142,2.0,0.02,5
56.25,11341.721329551228,0.8461376047963295,9.432532843979226,0.04,0.07142857142857142,2.0,0.02,5
56.5,11341.712875836534,0.8394817194041744,9.447642444064876,0.04,0.07142857142857142,2.0,0.02,5
56.75,11341.704488626681,0.8328781842685806,9.462633189054236,0.04,0.07142857142857142,2.0,0.02,5
57.0,11341.696167398492,0.8263265877392435,9.477506013773317,0.04,0.07142857142857142,2.0,0.02,5
57.25,11341.687911632906,0.8198265214012883,9.492261845697232,0.04,0.07142857142857142,2.0,0.02,5
57.5,11341.679720814946,0.8133775800498648,9.50690160500797,0.04,0.07142857142857142,2.0,0.02,5
57.75,11341.671594433687,0.8069793616649413,9.521426204651718,0.04,0.07142857142857142,2.0,0.02,5
58.0,11341.663531982222,0.8006314673862959,9.535836550395734,0.04,0.07142857142857142,2.0,0.02,5
58.25,11341.65553295763,0.7943335014887035,9.550133540884776,0.04,0.07142857142857142,2.0,0.02,5
58.5,11341.647596860948,0.7880850713573188,9.564318067697075,0.04,0.07142857142857142,2.0,0.02,5
58.75,11341.63972319714,0.7818857874632495,9.578391015399884,0.04,0.07142857142857142,2.0,0.02,5
59.0,11341.63191147506,0.7757352633393243,9.592353261604584,0.04,0.07142857142857142,2.0,0.02,5
59.25,11341.624161207426,0.7696331155560476,9.606205677021357,0.04,0.07142857142857142,2.0,0.02,5
59.5,11341.616471910793,0.7635789636977455,9.619949125513429,0.04,0.07142857142857142,2.0,0.02,5
59.75,11341.608843105514,0.7575724303388964,9.63358446415089,0.04,0.07142857142857142,2.0,0.02,5
60.0,11341.601274315719,0.7516131410206495,9.647112543264084,0.04,0.07142857142857142,2.0,0.02,5
60.25,11341.59376506928,0.745700724227525,9.660534206496596,0.04,0.07142857142857142,2.0,0.02,5
60.5,11341.586314897782,0.7398348113642988,9.673850290857802,0.04,0.07142857142857142,2.0,0.02,5
60.75,11341.578923336496,0.7340150367330679,9.687061626775021,0.04,0.07142857142857142,2.0,0.02,5
61.0,11341.571589924348,0.7282410375104947,9.700169038145255,0.04,0.07142857142857142,2.0,0.02,5
61.25,11341.564314203892,0.7225124537252314,9.713173342386513,0.04,0.07142857142857142,2.0,0.02,5
61.5,11341.557095721279,0.7168289282355198,9.726075350488749,0.04,0.07142857142857142,2.0,0.02,5
61.75,11341.549934026232,0.7111901067069678,9.738875867064383,0.04,0.07142857142857142,2.0,0.02,5
